Campaign Title,Campaign URL
Crips for eSims for Gaza,https://chuffed.orghttps://chuffed.org/project/crips-for-esims-for-gaza
Upgrade Democracy,https://chuffed.orghttps://chuffed.org/project/upgrade-democracy
Pardon Donziger,https://chuffed.orghttps://chuffed.org/project/free-donziger
"South Gaza: Tent, Cash Aid & Medical Aid",https://chuffed.orghttps://chuffed.org/project/113222-tent-campaign-the-sameer-project
"North and Central Gaza: Food, Water, Diapers + Milk, Medical aid",https://chuffed.orghttps://chuffed.org/project/help-us-deliver-vital-aid-to-gaza-families-in-need
Refaat Alareer Camp - The Sameer Project,https://chuffed.orghttps://chuffed.org/project/113327-refaat-alareer-camp-the-sameer-project
Legal Fund of Michigan Students for Palestine,https://chuffed.orghttps://chuffed.org/project/um-palestine-legalfund
Clean drinking water project for Gaza,https://chuffed.orghttps://chuffed.org/project/clearn-water-for-gaza
